personId,name,birthYear,deathYear
28640,Molly Shannon,1964,
28660,Emilie de Ravin,1981,
28782,Monica Bellucci,1964,
29234,Joe Anderson,1982,
30083,Lindsay Duncan,1950,
30315,Richard Armitage,1971,
30614,Ryan Gosling,1980,
30710,J. J. Feild,1978,
30882,Christine Lakin,1979,
31132,Columbus Short,1982,
31136,Chris Brown,1989,
31137,Brian J. White,1975,
31384,Jordi Mollà,1968,
31536,Marc Worden,1976,
31838,Danielle Panabaker,1987,
32205,Brendan Fletcher,1981,
32556,Ronald Pickup,1940,
32798,Elisabeth Moss,1982,
32990,Sophie Thompson,1962,
33045,J. Michael Straczynski,1954,
33235,Logan Lerman,1992,
33348,Adrian Holmes,1974,
34199,Thomas Dekker,1987,
34486,Ashley Johnson,1983,
34502,Kellan Lutz,1985,
34847,Emma Roberts,1991,
34900,Paul Whitehouse,1958,
34934,Bruce Timm,1961,
34982,Jeff Bennett,1962,
35091,Scott Grimes,1971,
35548,Simon Rex,1974,
35705,Regina Hall,1970,
35742,Shahrukh Khan,1965,
35792,Jimmy Shergill,1971,
35806,Shaquille O'Neal,1972,
36091,Christian Stolte,1962,
36422,Luke Wilson,1971,
36594,Juno Temple,1989,
36631,Randall Batinkoff,1968,
36662,Carey Mulligan,1985,
36801,Adam Scott,1973,
36856,Claus Wilcke,1939,
37168,Hans Matheson,1975,
37260,Abbie Cornish,1982,
37625,Andrew Garfield,1983,
37917,Kristen Stewart,1990,
38026,Chris Noth,1954,
38425,Amber Valletta,1974,
38673,Channing Tatum,1980,
38940,Evan Rachel Wood,1987,
39189,Stephen Merchant,1974,
39213,Keir O'Donnell,1978,
39388,Amy Ryan,1969,
39389,Titus Welliver,1961,
39459,Hayley Atwell,1982,
39995,Michael Cera,1988,
40275,Tim Guinee,1962,
40462,Kristen Bell,1980,
40638,Guy Henry,1960,
40942,Barbara Windsor,1937,
41088,Jason Segel,1980,
41091,Kristen Wiig,1973,
41227,Anne Lockhart,1953,
41292,Keri Russell,1976,
41556,Omari Hardwick,1974,
41561,Kenneth Choi,1971,
41565,Nate Torrence,1977,
41662,Lindsay Sloane,1977,
41798,George Lopez,1961,
42393,Bille Brown,1952,2013
42710,Keegan Connor Tracy,1971,
43263,Conrad Coates,1970,
43464,John Patrick Amedori,1987,
43553,Jerzy Skolimowski,1938,
43775,Jane Lynch,1960,
43902,Erik Palladino,1968,
44649,Violante Placido,1976,
44826,Hunt Block,1953,
45400,Greta Gerwig,1983,
45749,Thekla Reuten,1975,
45827,Ashley Greene,1987,
46074,Rachael Harris,1968,
46897,Erica Durance,1978,
47468,Frances de la Tour,1944,
49265,Lindsay Lohan,1986,
49961,Michelle Trachtenberg,1985,
49971,Jennifer Ehle,1969,
50117,Peter Hermann,1967,
51072,Kate Mara,1983,
51100,Gad Elmaleh,1971,
51298,Dax Shepard,1975,
51300,Derek Mears,1972,
51329,Bradley Cooper,1975,
51455,Johnny Lewis,1983,2012
51533,Fran Kranz,1983,
51670,Johnathon Schaech,1969,
51976,D.J. Cotrona,1980,
51988,Lizzy Caplan,1982,
51990,T. J. Miller,1981,
51992,Odette Annable,1985,
51998,Liza Lapira,1981,
52139,Seth MacFarlane,1973,
52374,Bruce Davison,1946,
52404,Mae Whitman,1988,
52414,Cameron Bright,1993,
52852,Kat Dennings,1986,
52865,Garry Shandling,1949,
52890,Richard Coyle,1972,
52997,Rob Corddry,1971,
53105,Arjun Mathur,1981,
53240,Riz Ahmed,1982,
53256,Terry Crews,1968,
53336,Brandon T. Jackson,1984,
53368,Scott Porter,1979,
53397,Christina Aguilera,1980,
53480,Khalid Abdalla,1981,
53755,Elizabeth Reaser,1975,
53904,Johan Leysen,1950,
53926,Jon Heder,1977,
54691,Christopher Mintz-Plasse,1989,
54693,Emma Stone,1988,
54729,Clark Duke,1985,
54810,Reece Ritchie,1986,
54812,Chevy Chase,1943,
55002,Björn Granath,1946,
55061,Kajol,1974,
55085,Amber Heard,1986,
55089,Evan Peters,1987,
55152,Campbell Scott,1961,
55205,Stephen Bishop,1971,
55398,Ashley Jensen,1969,
55412,Steve Toussaint,1965,
55467,Stephen Campbell Moore,1979,
55470,Dominic Cooper,1978,
55636,Donald Sutherland,1935,
55638,Kevin Hart,1980,
55775,Katie Cassidy,1986,
55901,Gemma Ward,1987,
55936,Jemaine Clement,1974,
56124,William Zabka,1965,
56152,Kari Wührer,1967,
56584,Bam Margera,1979,
56585,Steve-O,1974,
56586,Chris Pontius,1974,
56614,Ray Stevenson,1964,
56675,Anson Mount,1973,
56676,Michael Welch,1987,
56731,Jessica Alba,1981,
56734,Chloë Grace Moretz,1997,
56857,Peter Facinelli,1973,
56890,Malcolm McDowell,1943,
56903,Tracy Morgan,1968,
56930,David Selby,1941,
57012,Fares Fares,1973,
57409,Ana de la Reguera,1977,
57451,Leslie Bibb,1974,
57599,Seann William Scott,1976,
57674,Alexa PenaVega,1988,
57675,Daryl Sabara,1992,
57755,Woody Harrelson,1961,
58115,Eric Dane,1972,
58197,Bow Wow,1987,
58224,Jason Sudeikis,1975,
58402,Cainan Wiebe,1995,
58502,Natalie Dormer,1982,
58691,Heather Locklear,1961,
58737,Jack McBrayer,1973,
58787,Giannina Facio,1955,
58926,Katt Williams,1973,
58954,Darrell Hammond,1955,
59129,Óscar Jaenada,1961,
59174,America Ferrera,1984,
59175,Blake Lively,1987,
59219,Kyle Gallner,1986,
59243,Alex Ferris,1997,
59252,Nikki Reed,1988,
59261,Hannah Marks,1993,
59311,Mark Hildreth,1978,
59315,Olivia Wilde,1984,
59592,Izabella Miko,1981,
59620,Gemma Arterton,1986,
59662,Joanna Going,1963,
59817,Jaimie Alexander,1984,
59860,Alice Eve,1982,
59919,Russell Brand,1975,
60033,Yaya DaCosta,1982,
60073,Brie Larson,1989,
60074,Jeff Garlin,1962,
60118,John Bedford Lloyd,1956,
60195,David Aaron Baker,1963,
60348,Dave Legeno,1963,
60633,Kevin Sussman,1970,
60650,Michael Paré,1958,
60715,Kirsten Prout,1990,
60875,David Jensen,1952,
60898,Sebastian Stan,1983,
61114,Kate Walsh,1967,
61178,Alia Shawkat,1989,
61186,Nicola Peltz,1995,
61217,Robert Romanus,1956,
61659,Chris Messina,1974,
61964,Estelle Harris,1932,
62410,Sammo Hung,1952,
62564,Madeline Carroll,1996,
62849,Tom Lenk,1976,
62862,Danny McBride,1976,
63232,Mary Birdsong,1968,
63235,Cedric Yarbrough,1973,
63564,Nels Lennarson,1972,
63978,Jodi Benson,1961,
64143,Brian Scannell,1966,
64148,Chase Ellison,1993,
64342,Craig Robinson,1971,
65225,Justin Chon,1981,
65445,Samuel Roukin,1980,
65717,Jon Hamm,1971,
65731,Sam Worthington,1976,
65827,Keith David,1956,
66441,Talulah Riley,1985,
66580,Scott Adsit,1965,
67599,Vanessa Hudgens,1988,
67600,Ashley Tisdale,1985,
68559,Gary Daniels,1963,
68890,Tatum O'Neal,1963,
70175,Chelah Horsdal,1973,
70456,Emily Browning,1988,
71057,Zhou Xun,1976,
71070,Amanda Seyfried,1985,
71189,Cobie Smulders,1982,
71403,Rob Riggle,1970,
72095,Lee Pace,1979,
73336,Summer Bishil,1988,
73357,Eleanor Tomlinson,1992,
73641,Christiane Amanpour,1958,
74289,Amanda Righetti,1983,
74541,Corey Stoll,1976,
74568,Chris Hemsworth,1983,
74570,Ron Glass,1945,
74571,Regine Nehy,1987,
74577,Bitsie Tulloch,1981,
74607,Autumn Reeser,1980,
74618,Katrina Bowden,1988,
74687,Stella Maeve,1989,
74748,Randy Couture,1963,
75170,Gary Sweet,1957,
76070,Mia Wasikowska,1989,
76126,T.I.,1980,
76242,Noel Clarke,1975,
76365,Preston Lacy,1969,
76512,Jason Clarke,1969,
76788,Dev Patel,1990,
76793,Irrfan Khan,1962,
76828,Patrick Gilmore,1976,
77120,Steve Austin,1964,
77271,Pink,1979,
77304,Zhao Wei,1976,
77334,Chandler Canterbury,1998,
77824,Tanoai Reed,1974,
77880,Josh Dallas,1981,
77996,Asa Butterfield,1997,
78029,Martin Lawrence,1965,
78080,Krysten Ritter,1981,
78150,Joshua Cox,1965,
78324,Jamie Chung,1983,
78501,Melissa Joan Hart,1976,
78840,Jason Acuña,1973,
78887,Billy Ray Cyrus,1961,
79072,Kevin Durand,1974,
79635,Julian Holloway,1944,
80120,Andy McAvin,1952,
80149,Douglas Hodge,1960,
80378,Preston Bailey,2000,
80591,Rashida Jones,1976,
80595,Rob Huebel,1969,
80757,Mike Tyson,1966,
81097,Shawn Roberts,1984,
81133,Amy Acker,1976,
81364,Olivia Munn,1980,
81379,Steve Blum,1965,
81663,Vanessa Marshall,1969,
81681,Denis O'Hare,1962,
81682,Bojana Novaković,1981,
81683,Gbenga Akinnagbe,1978,
81684,Caterina Scorsone,1981,
81685,Frank Grillo,1963,
81688,Scott Winters,1959,2011
82096,Jessica Paré,1982,
82885,Zoe Lister-Jones,1982,
82945,Charles Baker,1971,
83002,Jessica Chastain,1977,
83248,Ron Paul,1935,
83274,Rachele Brooke Smith,1987,
83356,Jamie Campbell Bower,1988,
83586,Ken Jeong,1969,
83948,Rukiya Bernard,1983,
84214,Taylor Lautner,1992,
84215,Jackson Rathbone,1984,
84219,Chaske Spencer,1975,
84223,Anna Kendrick,1985,
84224,Christian Serratos,1990,
84225,Gil Birmingham,1966,
84482,Luke Benward,1995,
85178,Christa Campbell,1972,
85386,Irina Björklund,1973,
85505,Dan Payne,1972,
86268,Serinda Swan,1984,
86272,Natacha Itzel,1984,
86273,Lisa Rotondi,1972,
86310,Connie Britton,1967,
86442,Michael J. Reynolds,1939,
86624,Collette Wolfe,1980,
86627,Dave England,1969,
86653,Carter Jenkins,1991,
87310,Julia Jones,1981,
87312,James Parks,1968,
87440,Chris Carmack,1980,
87822,Damon Wayans Jr.,1982,
87944,Law Kar-Ying,1947,
88550,Joel Garland,1975,
88816,Noah Ringer,1996,
88903,Satya Bhabha,1983,
88995,Adrianne Palicki,1983,
89819,Zachary Gordon,1998,
89821,Dimitri Leonidas,1987,
90113,Katarzyna Wolejnio,1973,
90498,Devon Bostick,1991,
91351,Sarah Hyland,1990,
91494,Enzo Cilenti,1974,
91606,Tom Hiddleston,1981,
91670,Eisa Davis,1971,
92404,Joel Kinnaman,1979,
93210,Domhnall Gleeson,1983,
93491,Will Poulter,1993,
94304,Larry Cedar,1955,
94567,Zarina Wahab,1959,
95023,Oliver Milburn,1973,
95102,Kaitlin Olson,1975,
95697,Dileep Rao,1973,
95777,Bill O'Reilly,1949,
96841,Matthew Lewis,1989,
97906,Christine Nguyen,1984,
98420,Lynn Lowry,1947,
98522,Riley Keough,1989,
99414,Giselle Itié,1981,
101522,Walter Perez,1982,
101847,Lance E. Nichols,1955,
102744,Monique Ganderton,1980,
102786,Barack Obama,1961,
103351,Luke Treadaway,1984,
103833,John Aylward,1946,
104802,Phillip Rhys,1972,
105163,David Icke,1952,
105641,James Patrick Stuart,1968,
105727,Jake Abel,1987,
105868,Filippo Timi,1974,
106775,Liam O'Brien,1976,
106776,Samuel Vincent,1971,
108916,Rooney Mara,1985,
109438,Xavier Samuel,1983,
109513,Alexandra Daddario,1986,
109869,Kristen Schaal,1978,
110475,Brett Dier,1990,
110875,Gareth David-Lloyd,1981,
111455,Katy Perry,1984,
111513,Yvette Nicole Brown,1971,
111685,Kim Shaw,1983,
111801,Eoin Macken,1983,
111922,Robert Capron,1998,
111923,Karan Brar,1999,
112062,Wu Chun,1979,
112288,Lucille Soong,1938,
113360,Tim Preece,1938,
113676,Helena Mattsson,1984,
114019,Luke Evans,1979,
115146,Dominique McElligott,1986,
115150,Kaya Scodelario,1992,
115335,Anna Kuchma,1981,
116131,Ryan Sheckler,1989,
116881,Deborah Twiss,1971,
116882,Lyndsy Fonseca,1987,
118043,Francie Swift,1969,
118372,Yara Shahidi,2000,
118374,Gaius Charles,1983,
118377,Cassidy Hinkle,1997,
118384,Kevin O'Donnell,1976,
118386,Cecilia Foss,1900,
118490,Meredith Vieira,1953,
118616,Robert Michael Sheehan,1988,
118753,Alexander Wraith,1979,
119586,Ethan Peck,1986,
119592,Aubrey Plaza,1984,
120832,Kasia Smutniak,1979,
120932,Claire Foy,1984,
121529,Léa Seydoux,1985,
121868,Booboo Stewart,1994,
122281,Jerry Della Salla,1969,
122282,Sean Huze,1975,
122291,Brian VanRiper,1981,
122338,Omar Berdouni,1979,
122339,Alex Moore,1981,
122345,Tommy Campbell,1978,
125167,Mindy Kaling,1979,
125740,Dragomir Mrsic,1969,
126502,Charisma Carpenter,1970,
129714,Kisha Sierra,1981,
132354,Kate Micucci,1980,
134704,Wu Ma,1942,
136429,Ryan Dunn,1977,2011
137424,Gia Mantegna,1990,
140114,Marie Avgeropoulos,1986,
140367,Evanna Lynch,1991,
142953,Mini Anden,1978,
144577,Justine Cotsonas,1985,
145299,Eric Godon,1959,
147472,Alan Doyle,1969,
147734,Samuli Vauramo,1981,
149665,Kali Rocha,1971,
150204,Mina Badie,1970,
152759,Peggy Lipton,1946,
152820,Chris William Martin,1975,
157146,Barbara Eve Harris,1959,
159485,Stephanie Romanov,1969,
167293,Rae Ritke,1969,
169337,Katherine LaNasa,1966,
170804,Peggy Stewart,1923,
170977,Stephen Mailer,1966,
178630,Kate Fleetwood,1972,
182280,Daniel Eric Gold,1975,
199432,Jim Knobeloch,1950,
205976,Kelsey Chow,1991,
209196,Annie Ilonzeh,1983,
210695,Jesse Williams,1981,
210824,Kristen Connolly,1980,
211937,Tiffany Espensen,1999,
212208,Taylor Swift,1989,
224197,Brett Gelman,1976,
224724,Will Seatle Bowes,1990,
229634,Sebastian Armesto,1982,
231199,Axelle Carolyn,1979,
231547,Chris Zylka,1985,
234921,Arben Bajraktaraj,1983,
234923,Alfie Enoch,1988,
234925,Shefali Chowdhury,1988,
234926,Afshan Azad,1988,
234928,Scarlett Byrne,1990,
234933,Katie Leung,1987,
234934,Freddie Stroma,1987,
237405,Lady Gaga,1986,
237455,Sam Claflin,1986,
452205,Bobby Moynihan,1978,
469759,Astrid Bergès-Frisbey,1986,
486603,Anna Hutchison,1986,
510488,Nico Evers-Swindell,1979,
558927,Brendan Meyer,1994,
558928,Max Charles,2003,
569937,Dora Lipovcan,1977,
569956,Dusan Bucan,1976,
583061,Michael Kopsa,1956,
586953,Anna Foglietta,1979,
587354,Gísli Örn Garðarsson,1973,
931172,Jianbin Chen,1970,
933182,Justin Price,1985,
936970,Julia Garner,1994,
946696,Ian Whyte,1971,
956719,Tim De Zarn,1952,
964590,Destiny Whitlock,2001,
992389,Tony Nevada,1977,
996701,Miles Teller,1987,
999790,Alexis Knapp,1989,
1040332,Sandro Dori,1938,
1052655,Annett Culp,1975,
1057048,Michael Ford-FitzGerald,1979,
1111328,Leif Gantvoort,1972,
1116442,John Morris,1984,
1140635,Jon Campling,1966,
1209900,Roberto Lombardi,1963,
1214423,Allie Grant,1994,
1214673,Alexis Denisof,1966,
1215836,Kyle Bornheimer,1975,
1216701,Meghan Markle,1981,
1218928,Erica Cerra,1979,
1223171,Willa Holland,1991,
1224022,Enver Gjokaj,1980,
1232365,Andy Pessoa,1995,
1233560,Trevor Donovan,1978,
1254435,Peyton List,1998,
1281596,Will Shadley,1999,
