movieId,title,avgVote,releaseYear,genres
189,Sin City: A Dame to Kill For,6.900000,2014,Action:Crime:Drama:Thriller
1771,Captain America: The First Avenger,6.300000,2011,Action:Adventure:Science Fiction
1865,Pirates of the Caribbean: On Stranger Tides,6.300000,2011,Action:Adventure:Fantasy
1930,The Amazing Spider-Man,6.300000,2012,Action:Adventure:Fantasy
4258,Scary Movie 5,4.700000,2013,Comedy
7978,The Wolfman,5.400000,2010,Drama:Horror:Thriller
8967,The Tree of Life,6.700000,2011,Drama:Fantasy:Indie
9364,Wuthering Heights,6.200000,2011,Drama:Romance
9543,Prince of Persia: The Sands of Time,6.200000,2010,Action:Adventure:Fantasy:Romance
10138,Iron Man 2,6.500000,2010,Action:Adventure:Science Fiction
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,5.900000,2010,Fantasy
10191,How to Train Your Dragon,7.100000,2010,Adventure:Animation:Fantasy:Family
10192,Shrek Forever After,5.800000,2010,Adventure:Animation:Comedy:Fantasy:Family
10193,Toy Story 3,7.300000,2010,Animation:Comedy:Family
10195,Thor,6.300000,2011,Action:Adventure:Fantasy
10196,The Last Airbender,5.000000,2010,Action:Adventure:Fantasy:Family
10316,The Ides of March,6.200000,2011,Drama
10679,Iron Sky,5.700000,2012,Action:Comedy:Science Fiction
11324,Shutter Island,7.100000,2010,Drama:Mystery:Thriller
11439,The Ghost Writer,6.400000,2010,Mystery:Thriller
12155,Alice in Wonderland,6.000000,2010,Fantasy
12201,Edge of Darkness,6.200000,2010,Crime:Drama:Mystery:Thriller
12444,Harry Potter and the Deathly Hallows: Part 1,7.000000,2010,Adventure:Fantasy:Family
12445,Harry Potter and the Deathly Hallows: Part 2,7.300000,2011,Adventure:Fantasy:Family
12645,Inhale,6.000000,2010,Action:Drama:Thriller
12685,BloodRayne: The Third Reich,3.500000,2011,Action:Adventure:Comedy:Horror:Science Fiction:Thriller
12819,Alpha and Omega,5.900000,2010,Animation:Family
13477,When in Rome,5.500000,2010,Comedy:Romance
16290,Jackass 3D,6.600000,2010,Action:Comedy:Documentary
17578,The Adventures of Tintin,6.500000,2011,Action:Adventure:Animation:Mystery:Family
18823,Clash of the Titans,5.700000,2010,Action:Adventure:Fantasy
20352,Despicable Me,6.900000,2010,Animation:Family
20504,The Book of Eli,6.300000,2010,Action:Science Fiction:Thriller
20526,TRON: Legacy,6.200000,2010,Action:Adventure:Science Fiction
20533,Jonah Hex,5.000000,2010,Action:Drama:Fantasy:Thriller:Western
20662,Robin Hood,6.000000,2010,Action:Adventure:Drama:History
22538,Scott Pilgrim vs. the World,7.100000,2010,Action:Adventure:Comedy
22894,Legion,5.100000,2010,Action:Fantasy:Thriller
22907,Takers,6.500000,2010,Action:Crime:Drama:Thriller
22970,The Cabin in the Woods,6.300000,2012,Horror:Thriller
22971,Dear John,6.500000,2010,Drama:Romance:War
22972,Green Zone,6.400000,2010,Action:Adventure:Drama:Thriller
23023,Tooth Fairy,5.500000,2010,Comedy:Fantasy:Family
23047,Season of the Witch,5.600000,2011,Action:Adventure:Fantasy
23048,Hot Tub Time Machine,5.800000,2010,Adventure:Comedy:Science Fiction
23168,The Town,6.800000,2010,Crime:Drama:Thriller
23169,Remember Me,6.800000,2010,Drama:Romance
23172,The Spy Next Door,5.700000,2010,Action:Comedy:Family
23437,A Nightmare on Elm Street,5.700000,2010,Horror:Mystery:Thriller
23483,Kick-Ass,6.800000,2010,Action:Crime
23514,The Rum Diary,5.300000,2011,Comedy:Drama
23629,Sucker Punch,5.900000,2011,Action:Fantasy:Thriller
23631,Machete,6.400000,2010,Action:Comedy:Thriller
23742,Cop Out,5.900000,2010,Action:Comedy:Crime
23759,Centurion,5.600000,2010,Action:Drama:Thriller
23830,Last Night,6.200000,2010,Drama:Romance
24021,The Twilight Saga: Eclipse,5.600000,2010,Adventure:Drama:Fantasy:Romance
24428,The Avengers,7.100000,2012,Action:Adventure:Science Fiction
25195,Leap Year,6.400000,2010,Comedy:Romance
26022,My Name Is Khan,7.600000,2010,Drama:Romance
26214,The American Matrix - Age Of Deception,4.000000,2010,Documentary
26224,Global Eugenics: Using Medicine to Kill,3.500000,2010,Documentary
26388,Buried,6.300000,2010,Drama:Mystery:Thriller
26389,From Paris with Love,6.200000,2010,Action:Crime:Thriller
27004,Ca$h,6.100000,2010,Action:Adventure:Thriller:Indie
27022,The Sorcerer's Apprentice,5.900000,2010,Action:Adventure:Comedy:Drama:Fantasy
27205,Inception,7.500000,2010,Action:Adventure:Mystery:Science Fiction:Thriller
27569,Extraordinary Measures,7.200000,2010,Drama
27573,The Bounty Hunter,5.500000,2010,Action
27576,Salt,6.200000,2010,Action:Crime:Mystery:Thriller
27578,The Expendables,5.900000,2010,Action:Thriller
27579,The American,5.700000,2010,Crime:Drama:Suspense:Thriller
27581,The Other Guys,5.900000,2010,Action:Comedy:Crime
27582,The Mechanic,6.300000,2011,Action:Crime:Thriller
27583,Greenberg,5.800000,2010,Comedy:Drama:Romance
27585,Rabbit Hole,7.100000,2010,Drama
27586,The Runaways,6.200000,2010,Drama:Music:Indie
29427,The Crazies,6.500000,2010,Action:Horror:Mystery
29564,Smokin' Aces 2: Assassins' Ball,5.800000,2010,Action:Adventure:Comedy:Crime:Thriller
29920,Easy Money,7.300000,2010,Crime:Drama:Thriller
30061,Justice League: Crisis on Two Earths,6.800000,2010,Action:Adventure:Animation
30618,Bunraku,6.000000,2010,Action:Drama:Thriller
30675,Planet Hulk,6.300000,2010,Action:Animation:Science Fiction
31007,Welcome to the Rileys,7.200000,2010,Drama:Indie
31261,Halo Legends,7.500000,2010,Action:Adventure:Animation:Science Fiction
31867,Repo Men,6.300000,2010,Action:Crime:Science Fiction:Thriller
31967,Dante's Inferno: An Animated Epic,5.800000,2010,Action:Animation:Science Fiction:Thriller
32657,Percy Jackson & the Olympians: The Lightning Thief,6.000000,2010,Adventure:Fantasy:Family
32823,Get Him to the Greek,5.900000,2010,Comedy
32856,Valentine's Day,5.400000,2010,Comedy:Romance
33107,And Soon the Darkness,5.600000,2010,Crime:Horror:Mystery:Thriller
33217,Diary of a Wimpy Kid,5.900000,2010,Comedy:Family
33555,Sherlock Holmes,5.800000,2010,Action:Drama:Fantasy:Horror:Mystery:Thriller
33602,Temple Grandin,6.800000,2010,Drama
33909,Wall Street: Money Never Sleeps,5.500000,2010,Crime:Drama
34016,She's Out of My League,6.100000,2010,Comedy:Romance
34179,14 Blades,6.500000,2010,Action:Drama:Thriller
34182,Confucius,5.600000,2010,Drama:History
34335,Nine Dead,6.100000,2010,Crime:Drama:Horror:Suspense:Thriller
34803,Death at a Funeral,6.100000,2010,Comedy
